Altium Designer Pick and Place Locations
E:\车队-电气组\23D_EBS\SCH&PCB\EBS_MainBoard\Project Outputs for EBS_MainBoard\Pick Place for HRT_23D_EBS1.0.csv

========================================================================================================================
File Design Information:

Date:       23-02-23
Time:       15:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R44","0R","BottomLayer","0805R","14995.000","3050.000","180","贴片电阻"
"R43","0R","BottomLayer","0805R","14810.000","2835.000","90","贴片电阻"
"R42","0R","BottomLayer","0805R","13990.000","2565.000","90","贴片电阻"
"R41","100R","TopLayer","0805R","17000.000","1955.000","360","贴片电阻"
"R40","100R","TopLayer","0805R","17000.000","1855.000","360","贴片电阻"
"R39","10K","TopLayer","0805R","16405.000","2260.000","270","贴片电阻"
"Q4","N-MOS","TopLayer","SOT23","16790.514","1907.598","90","N沟道场效应管"
"LED4","红色","TopLayer","LED_0805R","16660.000","1940.005","270","贴片LED"
"J10","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","16705.000","2240.000","270",""
"D6","SS14","TopLayer","SMA","16535.000","2245.000","270","肖特基二极管"
"J9","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","16697.050","2918.000","270",""
"X1","8MHz","TopLayer","OSC_5032-2P","15730.000","2260.000","90","两脚无源晶振"
"U6","AMS1117-3V3","TopLayer","SOT223_M","15070.000","1505.000","270","三端稳压芯片"
"U5","TXS0108E","TopLayer","SSOP20","16360.000","1345.000","0",""
"U4","TPS5430","TopLayer","SOP8-PAD","13576.244","1145.449","180","DCDC降压芯片"
"U3","TJA1042T/3","TopLayer","SOP8","14799.669","2246.220","180","高速CAN收发器"
"U2","NUP2105LT1G","TopLayer","SOT-23-3P","14271.353","2238.802","90","静电管"
"U1","STM32F103C8T6","TopLayer","LQFP48_7X7","15305.500","2285.000","90",""
"S1","SWITCH","TopLayer","TSW_SMD-3*6*2.5","15788.843","2589.607","360","按键"
"RQ","ACT45B","TopLayer","4532","14480.000","2245.000","180","共模电感"
"R38","0R","TopLayer","1206R","14452.500","1450.000","180","贴片电阻"
"R37","1K","TopLayer","0805R","13730.000","1825.000","180","贴片电阻"
"R36","1K","TopLayer","0805R","13570.000","1530.000","90","贴片电阻"
"R35","10K","TopLayer","0805R","14255.000","1265.000","360","贴片电阻"
"R34","3.24K","TopLayer","0805R","14030.000","1260.000","360","贴片电阻"
"R33","2.7K","TopLayer","0805R","13730.000","1705.000","360","贴片电阻"
"R32","1K","TopLayer","0805R","16510.000","885.000","270","贴片电阻"
"R31","10K","TopLayer","0805R","16653.000","885.000","90","贴片电阻"
"R30","10K","TopLayer","0805R","16260.000","1135.000","180","贴片电阻"
"R29","2K","TopLayer","0805R","14095.000","2675.000","180","贴片电阻"
"R28","30K","TopLayer","0805R","14085.000","3015.000","180","贴片电阻"
"R27","30K","TopLayer","0805R","14535.000","3280.000","270","贴片电阻"
"R26","30K","TopLayer","0805R","14535.000","3015.000","270","贴片电阻"
"R25","30K","TopLayer","0805R","14535.000","3495.000","270","贴片电阻"
"R24","100R","TopLayer","0805R","16080.000","885.000","270","贴片电阻"
"R23","10K","TopLayer","0805R","15944.000","885.000","90","贴片电阻"
"R22","14K","TopLayer","0805R","13925.000","2725.000","270","贴片电阻"
"R21","20K","TopLayer","0805R","13925.000","2958.006","270","贴片电阻"
"R20","20K","TopLayer","0805R","14355.000","3230.000","180","贴片电阻"
"R19","20K","TopLayer","0805R","14365.000","2965.000","180","贴片电阻"
"R18","20K","TopLayer","0805R","14355.000","3445.000","180","贴片电阻"
"R17","0R","TopLayer","0805R","14745.000","1860.000","360","贴片电阻"
"R16","0R","TopLayer","0805R","14700.000","2525.000","180","贴片电阻"
"R15","60R","TopLayer","0805R","13935.000","2380.000","270","贴片电阻"
"R14","10K","TopLayer","0805R","15685.000","3325.000","270","贴片电阻"
"R13","100R","TopLayer","0805R","17000.000","2640.000","360","贴片电阻"
"R12","60R","TopLayer","0805R","13935.000","2165.000","270","贴片电阻"
"R11","1K","TopLayer","0805R","16070.000","2035.000","270","贴片电阻"
"R10","100R","TopLayer","0805R","17000.000","2535.000","360","贴片电阻"
"R9","100R","TopLayer","0805R","16060.000","2680.000","90","贴片电阻"
"R8","10K","TopLayer","0805R","15565.000","3470.000","90","贴片电阻"
"R7","2K2","TopLayer","0805R","16180.000","2680.000","90","贴片电阻"
"R6","10K","TopLayer","0805R","16362.050","2903.000","270","贴片电阻"
"R5","10K","TopLayer","0805R","15260.000","1880.000","180","贴片电阻"
"R4","10K","TopLayer","0805R","15070.000","1780.000","90","贴片电阻"
"R3","10K","TopLayer","0805R","15070.000","1985.000","90","贴片电阻"
"R2","20K","TopLayer","0805R","15705.000","2880.000","360","贴片电阻"
"R1","10K","TopLayer","0805R","15353.318","2651.000","270","贴片电阻"
"Q3","NPN","TopLayer","SOT-23","13535.000","1727.500","90","NPN三极管"
"Q2","NPN","TopLayer","SOT-23","16245.000","882.500","90","NPN三极管"
"Q1","N-MOS","TopLayer","SOT23","16796.536","2612.995","90","N沟道场效应管"
"P1","JAE_MX340_24","TopLayer","JAE_MX34_2.2_24_-_DUPLICATE","13524.724","2509.724","0",""
"LED3","红色","TopLayer","LED_0805R","15754.996","745.000","360","贴片LED"
"LED2","红色","TopLayer","LED_0805R","15695.000","3502.402","90","贴片LED"
"LED1","红色","TopLayer","LED_0805R","16597.045","2608.000","360","贴片LED"
"L1","10uH","TopLayer","SMD_12*12*8mm","14056.700","955.000","360","贴片功率电感"
"JK2","HF46F/5-HS1","TopLayer","HF46-XX-HS1","15233.031","965.000","180","5V一组常开"
"JK1","HF46F/24-HS1","TopLayer","HF46-XX-HS1","16436.725","3397.825","360","24V一组常开继电器"
"J8","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","15203.715","3189.323","360",""
"J7","Pin HDR1X4","TopLayer","FE-HDR1X4/2.54-S","16390.000","1985.000","270",""
"J6","Pin HDR1X4","TopLayer","FE-HDR1X4/2.54-S","16945.000","1325.000","0",""
"J5","Pin HDR1X4","TopLayer","FE-HDR1X4/2.54-S","15765.000","1315.000","0",""
"J4","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","14595.000","1105.000","180",""
"J3","TLP181","TopLayer","SOP4","16115.000","2355.000","270","光耦"
"J2","Pin HDR1X4","TopLayer","PIN_HDR1X4/2.54MM-S","14955.000","1885.000","360",""
"J1","Pin HDR1X4","TopLayer","PIN_HDR1X4/2.54MM-S","15065.000","2655.000","270",""
"E4","10uF/6.3V","TopLayer","CD_A(3216)","14040.000","1645.000","360","贴片钽电容"
"E3","10uF/6.3V","TopLayer","CD_A(3216)","15390.000","1345.000","90","贴片钽电容"
"E2","10uF/6.3V","TopLayer","CD_A(3216)","14695.000","1323.071","90","贴片钽电容"
"E1","220uF/50V","TopLayer","CM_D(6.3*7.7)","14040.000","1455.000","360","贴片电解电容
ESR < 0.04R"
"D5","SS34","TopLayer","SMA","13500.551","960.000","180","肖特基二极管"
"D4","SS14","TopLayer","SMA","15765.000","955.000","270","肖特基二极管"
"D3","SS14","TopLayer","SMA","15815.000","3405.000","270","肖特基二极管"
"D2","SS14","TopLayer","SMA","16507.050","2918.000","270","肖特基二极管"
"D1","SS14","TopLayer","SMA","15720.551","2750.000","360","肖特基二极管"
"C31","1uF","TopLayer","C_0805_M","16124.997","2919.997","180","无极性贴片电容"
"C30","0.1uF","TopLayer","C_0805_M","16122.997","2838.003","180","无极性贴片电容"
"C29","0.1uF","TopLayer","C_0805_M","13454.997","1525.003","270","无极性贴片电容"
"C28","0.1uF","TopLayer","C_0805_M","15504.997","1365.003","270","无极性贴片电容"
"C27","0.1uF","TopLayer","C_0805_M","14794.997","1350.003","270","无极性贴片电容"
"C26","1uF","TopLayer","C_0805_M","14030.003","1740.003","180","无极性贴片电容"
"C25","0.1uF","TopLayer","C_0805_M","14030.003","1825.003","180","无极性贴片电容"
"C24","10uF","TopLayer","C_0805_M","13340.003","1179.997","90","无极性贴片电容"
"C23","0.01uF","TopLayer","C_0805_M","13720.003","964.997","270","无极性贴片电容"
"C22","0.1uF","TopLayer","C_0805_M","16395.003","879.997","90","无极性贴片电容"
"C21","0.1uF","TopLayer","C_0805_M","14070.003","2790.003","360","无极性贴片电容"
"C20","0.1uF","TopLayer","C_0805_M","14069.997","2909.997","360","无极性贴片电容"
"C19","0.1uF","TopLayer","C_0805_M","14649.997","3265.003","90","无极性贴片电容"
"C18","0.1uF","TopLayer","C_0805_M","14650.003","2999.997","90","无极性贴片电容"
"C17","0.1uF","TopLayer","C_0805_M","14649.997","3480.003","90","无极性贴片电容"
"C16","0.1uF","TopLayer","C_0805_M","16483.475","1144.657","360","无极性贴片电容"
"C15","0.1uF","TopLayer","C_0805_M","15964.997","1355.003","270","无极性贴片电容"
"C14","47pF","TopLayer","C_0805_M","14065.003","2059.997","270","无极性贴片电容"
"C13","47pF","TopLayer","C_0805_M","14064.997","2480.003","90","无极性贴片电容"
"C12","4.7nF","TopLayer","C_0805_M","14100.003","2245.003","180","无极性贴片电容"
"C11","0.1uF","TopLayer","C_0805_M","14599.997","2419.997","360","无极性贴片电容"
"C10","10nF","TopLayer","C_0805_M","14764.997","2044.997","0","无极性贴片电容"
"C9","0.1uF","TopLayer","C_0805_M","14764.997","1959.997","0","无极性贴片电容"
"C8","0.1uF","TopLayer","C_0805_M","15685.003","2460.003","180","无极性贴片电容"
"C7","22pF","TopLayer","C_0805_M","15905.003","2330.003","180","无极性贴片电容"
"C6","1uF","TopLayer","C_0805_M","15455.003","1535.003","0","无极性贴片电容"
"C5","0.1uF","TopLayer","C_0805_M","15454.997","1704.997","360","无极性贴片电容"
"C4","0.1uF","TopLayer","C_0805_M","15454.997","1874.997","360","无极性贴片电容"
"C3","0.1uF","TopLayer","C_0805_M","15454.997","1619.997","360","无极性贴片电容"
"C2","4.7uF","TopLayer","C_0805_M","15454.997","1789.997","360","无极性贴片电容"
"C1","22pF","TopLayer","C_0805_M","15905.003","2200.003","180","无极性贴片电容"
