Altium Designer Pick and Place Locations
D:\HRT\23D_EBS\SCH&PCB\EBS_MainBoard\Project Outputs for EBS_MainBoard\Pick Place for HRT_23D_EBS1.1.csv

========================================================================================================================
File Design Information:

Date:       10/03/23
Time:       10:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R48","10K","TopLayer","0805R","3400.000","1495.000","0","贴片电阻"
"R47","0R","TopLayer","0805R","3410.000","1640.000","180","贴片电阻"
"R39","10K","TopLayer","0805R","3385.000","2100.000","0","贴片电阻"
"R6","0R","TopLayer","0805R","3385.000","2235.000","180","贴片电阻"
"D6","SS14","TopLayer","SMA","3590.000","1570.000","90","肖特基二极管"
"LED6","黄色","TopLayer","LED_0805Y","1995.000","1645.001","180","贴片LED"
"R46","1K","BottomLayer","0603R","2116.496","1610.000","0","贴片电阻"
"R45","1K","BottomLayer","0603R","2637.729","1282.271","135","贴片电阻"
"LED5","白色","TopLayer","LED_0805W","2693.553","1226.447","315","贴片LED"
"D7","SS14","TopLayer","SMA","180.036","329.449","90","肖特基二极管"
"R44","0R","BottomLayer","0805R","2030.036","2310.000","180","贴片电阻"
"R43","0R","BottomLayer","0805R","1840.000","2110.000","90","贴片电阻"
"R42","0R","BottomLayer","0805R","1025.036","1825.000","90","贴片电阻"
"R41","100R","TopLayer","0805R","4035.037","1215.000","0","贴片电阻"
"R40","100R","TopLayer","0805R","4035.037","1115.000","0","贴片电阻"
"Q4","N-MOS","TopLayer","SOT23","3825.550","1167.598","90","N沟道场效应管"
"LED4","蓝色","TopLayer","LED_0805B","3519.997","1369.995","0","贴片LED"
"J10","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","3740.037","1500.000","270",""
"J9","KF2EDGK-2P","TopLayer","KF2EDGK5.08W-2P","3732.086","2178.000","270",""
"X1","8MHz","TopLayer","OSC_5032-2P","2765.037","1520.000","90","两脚无源晶振"
"U6","AMS1117-3V3","TopLayer","SOT223_M","2105.037","765.000","270","三端稳压芯片"
"U5","TXS0108E","TopLayer","SSOP20","3395.037","605.000","0",""
"U4","TPS5430","TopLayer","SOP8-PAD","611.280","405.449","180","DCDC降压芯片"
"U3","TJA1042T/3","TopLayer","SOP8","1834.706","1506.220","180","高速CAN收发器"
"U2","NUP2105LT1G","TopLayer","SOT-23-3P","1306.389","1498.802","90","静电管"
"U1","STM32F103C8T6","TopLayer","LQFP48_7X7","2340.537","1545.000","90",""
"S1","SWITCH","TopLayer","TSW_SMD-3*6*2.5","2823.880","1849.607","0","按键"
"RQ","ACT45B","TopLayer","4532","1515.036","1505.000","180","共模电感"
"R38","0R","TopLayer","1206R","1487.537","710.000","180","贴片电阻"
"R37","100R","TopLayer","0805R","765.037","1085.000","180","贴片电阻"
"R36","1K","TopLayer","0805R","605.037","790.000","90","贴片电阻"
"R35","10K","TopLayer","0805R","1290.036","525.000","0","贴片电阻"
"R34","3.24K","TopLayer","0805R","1065.036","520.000","0","贴片电阻"
"R33","2K2","TopLayer","0805R","765.037","965.000","0","贴片电阻"
"R32","1K","TopLayer","0805R","3545.037","145.000","270","贴片电阻"
"R31","3K3","TopLayer","0805R","3688.037","145.000","90","贴片电阻"
"R30","10K","TopLayer","0805R","3295.037","395.000","180","贴片电阻"
